,temp_air,ghi,dni,dhi,lwr_u,wind_speed,rh,sp,svp_kPa,delta_kPa_C,avp_kPa,svpdeficit_kPa,net_sw_rad_MJ_m2,out_lw_rad_MJ_m2,net_radiation_MJ_m2,ET_mm,PV_AC_kW
2022-01-04 15:00:00-03:00,19.91,538.45,293.93,261.2,358.65,0.0,38.2,96962.0,2.325285798957205,0.14403651154537173,0.887222360944644,1.438063438012561,1.841499,0.31426900049418444,1.5272299995058156,0.4304765182639796,0.39911636380684845
2022-01-04 16:00:00-03:00,19.81,562.95,369.75,246.1,355.35,0.14,37.7,96934.0,2.3109205014299716,0.14325804586782998,0.8701563907657269,1.4407641106642446,1.925289,0.31576220882944844,1.6095267911705515,0.4538544548647965,0.4190355192819072
2022-01-04 17:00:00-03:00,20.16,481.4,419.71,176.3,347.65,0.62,36.4,96896.0,2.3615412017815807,0.14599835124651495,0.8585266767218338,1.5030145250597469,1.646388,0.31859980882942196,1.327788191170578,0.3842812958906547,0.35379946852654276
2022-01-04 18:00:00-03:00,20.28,337.5,359.31,135.55,347.65,1.31,35.65,96877.0,2.379118666258807,0.14694803423283287,0.8470667685686029,1.532051897690204,1.15425,0.3204395521009589,0.8338104478990411,0.2671256105352146,0.2350282920236508
2022-01-04 19:00:00-03:00,19.8,204.45,318.02,85.65,348.8,1.72,37.9,96810.0,2.309488249490783,0.14318039549850337,0.8742409387895729,1.4352473107012103,0.6992189999999999,0.31525753806630474,0.3839614619336952,0.15888050176857482,0.11614987815309366
2022-01-04 20:00:00-03:00,18.77,41.5,127.93,19.2,319.9,1.72,43.6,96877.0,2.1660602141549288,0.1353708252550158,0.9434410083811763,1.2226192057737526,0.14192999999999997,0.3032943242685077,-0.16136432426850775,0.017252347466702945,-0.00033
2022-01-04 21:00:00-03:00,17.67,0.0,0.0,0.0,314.3,1.59,50.3,96934.0,2.0215499355810196,0.127431929716985,1.0159875433366623,1.0055623922443573,0.0,0.291236775119153,-0.291236775119153,-0.02447378540275369,-0.00033
2022-01-04 22:00:00-03:00,16.74,0.0,0.0,0.0,295.45,1.38,55.75,96915.0,1.9060313808232114,0.12103132631304972,1.0618427817907778,0.8441885990324336,0.0,0.28297809390497447,-0.28297809390497447,-0.03270717363302877,-0.00033
2022-01-04 23:00:00-03:00,15.53,0.0,0.0,0.0,283.25,1.17,63.35,96915.0,1.764413590746845,0.11311368190117486,1.1171048558432932,0.6473087349035518,0.0,0.27301587983604747,-0.27301587983604747,-0.04026331224338983,-0.00033
2022-01-05 00:00:00-03:00,14.53,0.0,0.0,0.0,278.8,1.17,68.65,96896.0,1.6544237564066977,0.1069064185894415,1.1351883999937624,0.5192353564129353,0.0,0.26758191694025435,-0.26758191694025435,-0.041500902877681024,-0.00033
2022-01-05 01:00:00-03:00,14.18,0.0,0.0,0.0,274.2,1.1,70.05,96877.0,1.61737402226314,0.10480343424718488,1.1324152304565909,0.4849587918065492,0.0,0.266537157745374,-0.266537157745374,-0.043193905090488,-0.00033
2022-01-05 02:00:00-03:00,13.66,0.0,0.0,0.0,272.05,1.17,71.4,96829.0,1.5636727883350108,0.10174400316487071,1.1159195582512176,0.4477532300837932,0.0,0.2661225720425869,-0.2661225720425869,-0.042058725756193516,-0.00033
2022-01-05 03:00:00-03:00,13.09,0.0,0.0,0.0,266.65,1.24,71.75,96791.0,1.506611441003562,0.09847800792292195,1.0804415978399435,0.4261698431636185,0.0,0.2672714114927202,-0.2672714114927202,-0.04068471387995916,-0.00033
2022-01-05 04:00:00-03:00,12.33,0.0,0.0,0.0,263.75,1.31,68.7,96705.0,1.4333769478297147,0.09426247015444124,0.9840886738562635,0.44928827397345117,0.0,0.2734748744958133,-0.2734748744958133,-0.0380521827505068,-0.00033
2022-01-05 05:00:00-03:00,11.2,0.0,0.0,0.0,260.7,1.52,71.15,96696.0,1.3302680876001909,0.08827919019931392,0.9458764295591319,0.384391658041059,0.0,0.2728173719065579,-0.2728173719065579,-0.03477543545822903,-0.00033
2022-01-05 06:00:00-03:00,9.79,0.0,0.0,0.0,258.2,1.66,74.75,96667.0,1.210789053064508,0.08126997030424803,0.9045165185851735,0.30627253447933456,0.0,0.2713984944688949,-0.2713984944688949,-0.03360435227407447,-0.00033
2022-01-05 07:00:00-03:00,8.5,62.0,0.0,62.0,255.5,1.79,79.05,96657.0,1.109852890889037,0.07527896069530808,0.8768759459970672,0.23297694489196985,0.21203999999999998,0.26912655173274835,-0.057086551732748375,0.0052189936093190465,0.013632228521692297
2022-01-05 08:00:00-03:00,11.72,59.55,0.0,59.55,256.65,1.24,70.65,96696.0,1.376877267230389,0.0909910603660016,0.97215322818133,0.40472403904905907,0.20366099999999998,0.272285106159959,-0.06862410615995901,0.0033486692462077923,0.024810918752516946
